,trip_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_community_area,dropoff_community_area,fare,tip,additional_charges,trip_total,shared_trip_authorized,trips_pooled,pickup_centroid_latitude,pickup_centroid_longitude,pickup_centroid_location,dropoff_centroid_latitude,dropoff_centroid_longitude,dropoff_centroid_location,pickup_census_tract,dropoff_census_tract
0,378cebad36753e7ce0b03302041493cdb63e3b3f,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,661,3.982092,24,8,10,0,3.1,13.1,False,1,41.9012069941,-87.6763559892,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",,
1,c8407ca626d65d109768714703b6376d1f397226,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,850,7.826718,3,32,12.5,0,3.12,15.620000000000001,False,1,41.96581197,-87.6558787862,"{'type': 'Point', 'coordinates': [-87.6558787862, 41.96581197]}",41.8788655841,-87.6251921424,"{'type': 'Point', 'coordinates': [-87.6251921424, 41.8788655841]}",,
2,77988b710d0ff3bd9cd7ebaefddfa360ef170e5b,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,721,4.844051,42,71,10,0,3.74,13.74,False,1,41.7788768603,-87.5949254391,"{'type': 'Point', 'coordinates': [-87.5949254391, 41.7788768603]}",41.7442051463,-87.6563059862,"{'type': 'Point', 'coordinates': [-87.6563059862, 41.7442051463]}",,
3,4aed883f1a54674488e0a022209373c52416c69f,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,294,1.279011,41,42,5,0,3.67,8.67,False,1,41.794090253,-87.592310855,"{'type': 'Point', 'coordinates': [-87.592310855, 41.794090253]}",41.7788768603,-87.5949254391,"{'type': 'Point', 'coordinates': [-87.5949254391, 41.7788768603]}",,
4,b2b75553e3b2c45d2de117df720f1e19b2c90044,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,189,0.986101,40,40,2.5,0,3.1,5.6,False,1,41.7923572233,-87.6179313803,"{'type': 'Point', 'coordinates': [-87.6179313803, 41.7923572233]}",41.7923572233,-87.6179313803,"{'type': 'Point', 'coordinates': [-87.6179313803, 41.7923572233]}",,
5,e9061d36cb84882abc4c4c76fbceec2a9a85e677,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,774,3.850057,76,,7.5,1,3.1,11.6,False,1,41.9802643146,-87.913624596,"{'type': 'Point', 'coordinates': [-87.913624596, 41.9802643146]}",,,,,
6,eaf440c9a02f06b6c7c2b3f5a8fe426a8c507cf8,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,399,2.095746,19,23,5,0,3.1,8.1,False,1,41.9272609555,-87.7655016086,"{'type': 'Point', 'coordinates': [-87.7655016086, 41.9272609555]}",41.9000696026,-87.7209182385,"{'type': 'Point', 'coordinates': [-87.7209182385, 41.9000696026]}",,
7,856d2699b3f241c9858977bb75613571f62ec187,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,819,9.149667,69,32,12.5,0,3.1,15.6,False,1,41.7632467988,-87.6161341112,"{'type': 'Point', 'coordinates': [-87.6161341112, 41.7632467988]}",41.8788655841,-87.6251921424,"{'type': 'Point', 'coordinates': [-87.6251921424, 41.8788655841]}",,
8,b0a0aed3681ae20c7f2502aad08196ffb7b82cfd,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,631,3.949225,8,28,7.5,0,3.1,10.6,False,1,41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",41.874005383,-87.6635175498,"{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}",,
9,17b6ac23d2533462023732876b5a674854a1907b,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,239,1.370806,77,3,5,0,3.1,8.1,False,1,41.9867117999,-87.6634164054,"{'type': 'Point', 'coordinates': [-87.6634164054, 41.9867117999]}",41.96581197,-87.6558787862,"{'type': 'Point', 'coordinates': [-87.6558787862, 41.96581197]}",,
10,618b0692c172073e2d2d0c585377e4f0e6a5cc12,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,928,4.498568,24,22,12.5,0,3.1,15.6,False,1,41.9012069941,-87.6763559892,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",41.9227606205,-87.6991553432,"{'type': 'Point', 'coordinates': [-87.6991553432, 41.9227606205]}",,
11,3c6ffc57ec038bf4ca0401a8fe1f074ba5fed6da,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,464,3.073407,3,77,7.5,0,3.1,10.6,False,1,41.96581197,-87.6558787862,"{'type': 'Point', 'coordinates': [-87.6558787862, 41.96581197]}",41.9867117999,-87.6634164054,"{'type': 'Point', 'coordinates': [-87.6634164054, 41.9867117999]}",,
12,54235ba3c819961e6f371e861aab66284a161722,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,899,3.805709,6,16,10,0,3.1,13.1,False,1,41.9442266014,-87.6559981815,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",41.9535821253,-87.7234523905,"{'type': 'Point', 'coordinates': [-87.7234523905, 41.9535821253]}",,
13,a1791085d1b8618263eab760f2c8c68fa83eb28f,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,364,1.31433,8,24,10,0,3.56,13.56,False,1,41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",41.9012069941,-87.6763559892,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",,
14,f9a9fc876d855fb45cd571f5910b8ad606b9aa18,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,274,0.882072,59,59,5,0,3.57,8.57,False,1,41.8299223039,-87.6725026464,"{'type': 'Point', 'coordinates': [-87.6725026464, 41.8299223039]}",41.8299223039,-87.6725026464,"{'type': 'Point', 'coordinates': [-87.6725026464, 41.8299223039]}",,
15,3d6eb173000240743efdc02a0ec7d33d9b82579e,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,339,0.99409,8,8,7.5,0,3.1,10.6,False,1,41.8920421365,-87.6318639497,"{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}",41.9002656868,-87.6321092196,"{'type': 'Point', 'coordinates': [-87.6321092196, 41.9002656868]}",17031081700,17031081000
16,f1d28fd2bc6fcf5688b7449c6d299cf5bf2acf74,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,382,1.28457,8,8,5,0,3.1,8.1,False,1,41.8920421365,-87.6318639497,"{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}",41.9049353016,-87.6499072264,"{'type': 'Point', 'coordinates': [-87.6499072264, 41.9049353016]}",17031081700,17031842200
17,779d3b44c85312f82f3f31100429520beb69c6ea,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,508,2.853282,,73,7.5,0,3.58,11.08,False,1,,,,41.7174930361,-87.6488950721,"{'type': 'Point', 'coordinates': [-87.6488950721, 41.7174930361]}",,
18,46719ee9b59bfd3a1c7e18ae2b9549a00e13475e,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,156,0.732226,35,38,2.5,0,3.16,5.66,False,1,41.8351179863,-87.6186777673,"{'type': 'Point', 'coordinates': [-87.6186777673, 41.8351179863]}",41.8129489392,-87.6178596758,"{'type': 'Point', 'coordinates': [-87.6178596758, 41.8129489392]}",,
19,8a2a3724e800a07ab8c22a20ff07bce6958ab081,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,375,1.532835,24,24,5,1,3.1,9.1,False,1,41.9012069941,-87.6763559892,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",41.9012069941,-87.6763559892,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",,
20,08fcf07d7000e51a51c0d5ce6cf15be489a0748e,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,169,0.642399,32,32,2.5,0,3.1,5.6,False,1,41.8809944707,-87.6327464887,"{'type': 'Point', 'coordinates': [-87.6327464887, 41.8809944707]}",41.8809944707,-87.6327464887,"{'type': 'Point', 'coordinates': [-87.6327464887, 41.8809944707]}",17031839100,17031839100
21,2344132404f737e5457a5a40b7bfc8fc7d12cbdd,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,383,1.175325,28,28,7.5,0,3.36,10.86,False,1,41.874005383,-87.6635175498,"{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}",41.874005383,-87.6635175498,"{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}",,
22,feaa97c7aeb8742cd271f7050780ce0d9e36248d,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,780,5.673168,6,8,10,0,3.1,13.1,False,1,41.9442266014,-87.6559981815,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",,
23,c9567bac1f47d88800ccc0a6fd7c17051cab8e57,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,148,0.93115,10,11,2.5,0,3.1,5.6,False,1,41.9850151008,-87.8045320063,"{'type': 'Point', 'coordinates': [-87.8045320063, 41.9850151008]}",41.9788295262,-87.771166703,"{'type': 'Point', 'coordinates': [-87.771166703, 41.9788295262]}",,
24,09a8318b1e2f5b5b061796e6e981e483486022ba,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,830,6.821209,44,75,10,0,3.1,13.1,False,1,41.7402057565,-87.6159695226,"{'type': 'Point', 'coordinates': [-87.6159695226, 41.7402057565]}",41.6897299145,-87.6690544032,"{'type': 'Point', 'coordinates': [-87.6690544032, 41.6897299145]}",,
25,6a5298bcb32cdb8b3eba18d045fdbde6732d0c26,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,274,1.224861,25,25,5,0,3.96,8.96,False,1,41.8906088526,-87.7560467111,"{'type': 'Point', 'coordinates': [-87.7560467111, 41.8906088526]}",41.8906088526,-87.7560467111,"{'type': 'Point', 'coordinates': [-87.7560467111, 41.8906088526]}",,
26,11230c5b4200f77ece538611f358314523b1b4fc,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,714,4.626254,44,67,10,0,3.25,13.25,False,1,41.7402057565,-87.6159695226,"{'type': 'Point', 'coordinates': [-87.6159695226, 41.7402057565]}",41.7759288274,-87.6665962653,"{'type': 'Point', 'coordinates': [-87.6665962653, 41.7759288274]}",,
27,00e21758b576c08c9c936cd9ee5acd3e88162657,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,596,2.992759,25,25,7.5,0,3.46,10.96,False,1,41.8906088526,-87.7560467111,"{'type': 'Point', 'coordinates': [-87.7560467111, 41.8906088526]}",41.8906088526,-87.7560467111,"{'type': 'Point', 'coordinates': [-87.7560467111, 41.8906088526]}",,
28,2ed0d6211819c3f3061334fc38ba3fff08199d15,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,459,1.763615,28,8,12.5,0,3.1,15.6,False,1,41.874005383,-87.6635175498,"{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}",41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",,
29,66c59ed2035853fedc7677e7e3bcf732973ca6c9,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,692,5.512494,5,28,10,5,3.9,18.9,False,1,41.9477915865,-87.6838349425,"{'type': 'Point', 'coordinates': [-87.6838349425, 41.9477915865]}",41.874005383,-87.6635175498,"{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}",,
30,543c9622bca64987e3319e8b63446428ccc7b068,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,528,4.664201,8,21,10,0,3.1,13.1,False,1,41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",41.9386661962,-87.7112105933,"{'type': 'Point', 'coordinates': [-87.7112105933, 41.9386661962]}",,
31,1fd53dc900f1eb4eaf58025f8a492011c56f166a,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,364,1.318182,3,3,5,0,3.1,8.1,False,1,41.9581548757,-87.6530217894,"{'type': 'Point', 'coordinates': [-87.6530217894, 41.9581548757]}",41.9654457842,-87.6631958495,"{'type': 'Point', 'coordinates': [-87.6631958495, 41.9654457842]}",17031032100,17031031700
32,e663d066615d13f0b0ca2ddd288e6c9dabec7abb,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,1016,9.032314,71,58,15,0,3.1,18.1,False,1,41.7442051463,-87.6563059862,"{'type': 'Point', 'coordinates': [-87.6563059862, 41.7442051463]}",41.8173662079,-87.6988607973,"{'type': 'Point', 'coordinates': [-87.6988607973, 41.8173662079]}",,
33,b32b1612b1be4f44211513446603c495090ada3d,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,159,0.894462,26,29,2.5,0,3.94,6.4399999999999995,False,1,41.8785943576,-87.7302324284,"{'type': 'Point', 'coordinates': [-87.7302324284, 41.8785943576]}",41.8601900192,-87.7172201,"{'type': 'Point', 'coordinates': [-87.7172201, 41.8601900192]}",,
34,055fbffcd9e00122ebda26691bc2422d7bfb416d,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,482,2.010215,1,1,5,0,3.1,8.1,False,1,42.0096228806,-87.6701668569,"{'type': 'Point', 'coordinates': [-87.6701668569, 42.0096228806]}",42.0096228806,-87.6701668569,"{'type': 'Point', 'coordinates': [-87.6701668569, 42.0096228806]}",,
35,00cee950726541a25aa39b719f486ea84444b658,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,373,2.392987,38,40,5,0,3.1,8.1,False,1,41.8129489392,-87.6178596758,"{'type': 'Point', 'coordinates': [-87.6178596758, 41.8129489392]}",41.7923572233,-87.6179313803,"{'type': 'Point', 'coordinates': [-87.6179313803, 41.7923572233]}",,
36,b82e466129dc659c741b70365515029f304e85a6,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,711,3.608277,3,1,7.5,0,3.1,10.6,False,1,41.96581197,-87.6558787862,"{'type': 'Point', 'coordinates': [-87.6558787862, 41.96581197]}",42.0096228806,-87.6701668569,"{'type': 'Point', 'coordinates': [-87.6701668569, 42.0096228806]}",,
37,aec673df73ef344de7cc7462f2a71797124fb380,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,440,2.067644,24,24,7.5,0,3.1,10.6,False,1,41.8922767078,-87.6793974791,"{'type': 'Point', 'coordinates': [-87.6793974791, 41.8922767078]}",41.9067077917,-87.6846859492,"{'type': 'Point', 'coordinates': [-87.6846859492, 41.9067077917]}",17031243000,17031241200
38,7c1a4762880517f0cc38e8d408baebe62283386e,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,1251,10.289059,32,19,20,0,3.1,23.1,False,1,41.8788655841,-87.6251921424,"{'type': 'Point', 'coordinates': [-87.6251921424, 41.8788655841]}",41.9272609555,-87.7655016086,"{'type': 'Point', 'coordinates': [-87.7655016086, 41.9272609555]}",,
39,109588e6452d62d39ffc9e844f41ce1a5c43fae6,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,498,1.917321,8,8,7.5,0,3.1,10.6,False,1,41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",,
40,1cff25e7d2906cc38023b2910d455d5ec9901df3,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,374,1.40359,8,24,5,0,3.1,8.1,False,1,41.899602111,-87.6333080367,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",41.9012069941,-87.6763559892,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",,
41,427e62ea22a3fb400c5e7d76b959a0cd649537e4,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,473,6.198002,21,,10,0,3.1,13.1,False,1,41.9386661962,-87.7112105933,"{'type': 'Point', 'coordinates': [-87.7112105933, 41.9386661962]}",,,,,
42,b41c805c2569877045466465237b94e2adc703c2,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,597,3.151323,23,21,7.5,0,3.62,11.120000000000001,False,1,41.9000696026,-87.7209182385,"{'type': 'Point', 'coordinates': [-87.7209182385, 41.9000696026]}",41.9386661962,-87.7112105933,"{'type': 'Point', 'coordinates': [-87.7112105933, 41.9386661962]}",,
43,cc08265d20aa719a8a8493023a578b0fc20351b7,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,510,2.728381,6,22,7.5,0,3.1,10.6,False,1,41.9442266014,-87.6559981815,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",41.9227606205,-87.6991553432,"{'type': 'Point', 'coordinates': [-87.6991553432, 41.9227606205]}",,
44,865f04bd028874a5b0b5e3f1a6cbf80399b07012,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,421,1.733661,28,8,12.5,3,3.93,19.43,False,1,41.8852813201,-87.6572331997,"{'type': 'Point', 'coordinates': [-87.6572331997, 41.8852813201]}",41.9002656868,-87.6321092196,"{'type': 'Point', 'coordinates': [-87.6321092196, 41.9002656868]}",17031833000,17031081000
45,5ae9f46107d26306dc1b3b015bcafe9446adc1b6,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,943,6.843164,,56,20,0,3.55,23.55,False,1,,,,41.7925923603,-87.7696154528,"{'type': 'Point', 'coordinates': [-87.7696154528, 41.7925923603]}",,
46,083a597f7dca0bd93ca200f9bef9ead5fdc9fdc5,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,889,8.925145,71,35,12.5,0,4.13,16.63,False,1,41.7442051463,-87.6563059862,"{'type': 'Point', 'coordinates': [-87.6563059862, 41.7442051463]}",41.8351179863,-87.6186777673,"{'type': 'Point', 'coordinates': [-87.6186777673, 41.8351179863]}",,
47,bdd075aabd4d15ab589415edb4e5049c7e716124,2020-09-30T23:45:00.000,2020-10-01T00:00:00.000,532,0.968318,6,6,5,0,3.1,8.1,False,1,41.9442266014,-87.6559981815,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",41.9442266014,-87.6559981815,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",,
48,93bdb23a163799e071ba674831acde41547724e9,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,714,5.73854,8,28,12.5,0,3.2,15.7,False,1,41.9002656868,-87.6321092196,"{'type': 'Point', 'coordinates': [-87.6321092196, 41.9002656868]}",41.8713514005,-87.6886749004,"{'type': 'Point', 'coordinates': [-87.6886749004, 41.8713514005]}",17031081000,17031282700
49,d7eea58daeb0813a986573f2d3ff3a040e0bd1b2,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,166,0.603111,7,7,2.5,0,3.1,5.6,False,1,41.9226862843,-87.6494887289,"{'type': 'Point', 'coordinates': [-87.6494887289, 41.9226862843]}",41.9226862843,-87.6494887289,"{'type': 'Point', 'coordinates': [-87.6494887289, 41.9226862843]}",,
50,328ef804034162a6d3006b00c5f66db1004a876a,2020-09-30T23:45:00.000,2020-09-30T23:45:00.000,257,0.904341,38,38,2.5,0,3.1,5.6,False,1,41.8129489392,-87.6178596758,"{'type': 'Point', 'coordinates': [-87.6178596758, 41.8129489392]}",41.8129489392,-87.6178596758,"{'type': 'Point', 'coordinates': [-87.6178596758, 41.8129489392]}",,
